"Year"	"USFWBand"	"JayID"	"NatalNest"	"TerrYr.x"	"Terr"	"HatchDate"	"FldgDate"	"LastObsDate"	"Mass"	"MeasDate"	"HatchNum"	"FldgNum"	"Days"	"Years"	"Censor"	"Day11"	"Help"	"HelpNum"	"dadband"	"NestYear.x"	"TerrYr.y"	"dadid"	"dadexp"	"dadage"	"momband"	"NestYear.y"	"TerrYr"	"momid"	"momexp"	"momage"	"CountofJayID"	"NumTerr"	"Den"
"38"	"1984"	"1423-42847"	"SF-n"	"FIRE841"	"FIRE84"	"FIRE"	1984-04-19	5240	5241	42.2	1984-04-30	3	3	1	0	1	11	0	0	"1383-27177"	"1984"	"FIRE84"	"-YAS"	2	4	"1383-27224"	"1984"	"FIRE84"	"WLS-"	1	3	110	37	2.97297297297297
"39"	"1984"	"1423-42851"	"SB-n"	"FARS843"	"FARS84"	"FARS"	1984-04-21	5241	5275	48.6	1984-05-02	2	2	34	0.09	1	11	1	3	"1423-42819"	"1984"	"FARS84"	"Y-BZ"	0	2	"1383-27190"	"1984"	"FARS84"	"A-SB"	3	5	110	37	2.97297297297297
"40"	"1984"	"1423-42854"	"SW-n"	"MILW841"	"MILW84"	"MILW"	1984-04-22	5243	5275	50.5	1984-05-03	3	3	32	0.09	1	11	0	0	"1383-27299"	"1984"	"MILW84"	"GS-A"	0	2	"1423-42850"	"1984"	"MILW84"	"Y-OZ"	0	2	110	37	2.97297297297297
"41"	"1984"	"1423-42855"	"SR-n"	"MILW841"	"MILW84"	"MILW"	1984-04-22	5243	5275	49.3	1984-05-03	3	3	32	0.09	1	11	0	0	"1383-27299"	"1984"	"MILW84"	"GS-A"	0	2	"1423-42850"	"1984"	"MILW84"	"Y-OZ"	0	2	110	37	2.97297297297297
"42"	"1984"	"1423-42814"	"SL-n"	"SIXS841"	"SIXS84"	"SIXS"	1984-04-12	5236	5275	29.4	1984-04-23	4	4	39	0.11	1	11	0	0	"1383-27125"	"1984"	"SIXS84"	"L-SF"	2	6	"1423-42665"	"1984"	"SIXS84"	"R-AZ"	2	4	110	37	2.97297297297297
"43"	"1984"	"1423-42815"	"SF-n"	"SIXS841"	"SIXS84"	"SIXS"	1984-04-12	5236	5241	35.8	1984-04-23	4	4	5	0.01	1	11	0	0	"1383-27125"	"1984"	"SIXS84"	"L-SF"	2	6	"1423-42665"	"1984"	"SIXS84"	"R-AZ"	2	4	110	37	2.97297297297297
"44"	"1984"	"1423-42821"	"SL-Y"	"SCOP841"	"SCOP84"	"SCOP"	1984-04-13	5234	7531	45.2	1984-04-24	4	3	2297	6.29	0	11	1	3	"1423-42820"	"1984"	"SCOP84"	"Y-PZ"	2	4	"793-09828"	"1984"	"SCOP84"	"SGG-"	3	7	110	37	2.97297297297297
"45"	"1984"	"1423-42822"	"SF-n"	"SCOP841"	"SCOP84"	"SCOP"	1984-04-13	5234	5241	42.5	1984-04-24	4	3	7	0.02	1	11	1	3	"1423-42820"	"1984"	"SCOP84"	"Y-PZ"	2	4	"793-09828"	"1984"	"SCOP84"	"SGG-"	3	7	110	37	2.97297297297297
"46"	"1984"	"1423-42823"	"SA-Y"	"SCOP841"	"SCOP84"	"SCOP"	1984-04-13	5234	5612	44.8	1984-04-24	4	3	378	1.03	0	11	1	3	"1423-42820"	"1984"	"SCOP84"	"Y-PZ"	2	4	"793-09828"	"1984"	"SCOP84"	"SGG-"	3	7	110	37	2.97297297297297
"47"	"1984"	"1423-42826"	"SW-F"	"ROSE842"	"ROSE84"	"ROSE"	1984-04-16	5237	5369	52.3	1984-04-27	3	3	132	0.36	1	11	1	2	"1383-27178"	"1984"	"ROSE84"	"-BPS"	2	4	"1383-27154"	"1984"	"ROSE84"	"YG-S"	2	5	110	37	2.97297297297297
