"USFWBand"	"JayID"	"NatalNest"	"TerrYr"	"Terr"	"Year"	"HatchDate"	"FldgDate"	"LastObsDate"	"Mass"	"MeasDate"	"HatchNum"	"FldgNum"	"Days"	"Years"	"Censor"	"Day11"	"Help"	"HelpNum"	"SexIND"	"FBreeder"	"FUSFWBand"	"MBreeder"	"MUSFWBand"	"famid"
"2162"	"1713-49751"	"Q-nO"	"HEWT131"	"HEWT13"	"HEWT"	"2013"	2013-04-12	15825	15842	44.6	2013-04-23	4	3	17	0.05	1	11	0	0	2	"GR-Q"	"1713-13329"	"-CBA"	"1603-51721"	1
"2163"	"1713-49753"	"Q-PW"	"WLIN131"	"WLIN13"	"WLIN"	"2013"	2013-04-13	15827	16903	47.1	2013-04-24	3	3	1076	2.95	0	11	1	3	2	"BC-fHW"	"1713-49318"	"WCH="	"1713-89767"	1
"2164"	"1713-49754"	"Q-PR"	"WLIN131"	"WLIN13"	"WLIN"	"2013"	2013-04-13	15827	15994	38.9	2013-04-24	3	3	167	0.46	1	11	1	3	1	"BC-fHW"	"1713-49318"	"WCH="	"1713-89767"	1
"2165"	"1713-49755"	"Q-PG"	"WLIN131"	"WLIN13"	"WLIN"	"2013"	2013-04-13	15827	16505	29.1	2013-04-24	3	3	678	1.86	0	11	1	3	2	"BC-fHW"	"1713-49318"	"WCH="	"1713-89767"	1
"2166"	"1713-49756"	"Q-GL"	"JANW131"	"JANW13"	"JANW"	"2013"	2013-04-14	15827	16903	51.2	2013-04-25	4	3	1076	2.95	0	11	0	0	2	"ACL-"	"1573-97973"	"I-RCP"	"1603-16597"	1
"2167"	"1713-49757"	"Q-GH"	"JANW131"	"JANW13"	"JANW"	"2013"	2013-04-14	15827	16493	46.3	2013-04-25	4	3	666	1.82	0	11	0	0	2	"ACL-"	"1573-97973"	"I-RCP"	"1603-16597"	1
"2168"	"1713-49758"	"Q-GA"	"JANW131"	"JANW13"	"JANW"	"2013"	2013-04-14	15827	16903	42.8	2013-04-25	4	3	1076	2.95	0	11	0	0	1	"ACL-"	"1573-97973"	"I-RCP"	"1603-16597"	1
"2169"	"1713-49759"	"Q-RY"	"JERE131"	"JERE13"	"JERE"	"2013"	2013-04-14	15827	15882	46.4	2013-04-25	4	3	55	0.15	1	11	0	0	2	"PY-KS"	"1603-51960"	"H-CHR"	"1603-51754"	1
"2170"	"1713-49760"	"Q-RB"	"JERE131"	"JERE13"	"JERE"	"2013"	2013-04-14	15827	15994	45.2	2013-04-25	4	3	167	0.46	1	11	0	0	2	"PY-KS"	"1603-51960"	"H-CHR"	"1603-51754"	1
"2171"	"1713-49761"	"Q-nP"	"JERE131"	"JERE13"	"JERE"	"2013"	2013-04-14	15827	15848	34.6	2013-04-25	4	3	21	0.06	1	11	0	0	2	"PY-KS"	"1603-51960"	"H-CHR"	"1603-51754"	1
"2172"	"1713-49762"	"Q-WO"	"NURS132"	"NURS13"	"NURS"	"2013"	2013-04-15	15827	16295	47.7	2013-04-26	4	1	468	1.28	0	11	1	2	2	"-CBP"	"1603-51720"	"-BOQ"	"1713-13662"	1
"2173"	"1713-49764"	"Q-nW"	"BUBO131"	"BUBO13"	"BUBO"	"2013"	2013-04-15	15828	15838	46.1	2013-04-26	3	3	10	0.03	1	11	0	0	1	"HRQ-"	"1713-49026"	"RGQ-"	"1713-13973"	1
"2174"	"1713-49765"	"Q-nR"	"BUBO131"	"BUBO13"	"BUBO"	"2013"	2013-04-15	15828	15832	41.2	2013-04-26	3	3	4	0.01	1	11	0	0	2	"HRQ-"	"1713-49026"	"RGQ-"	"1713-13973"	1
"2175"	"1713-49766"	"Q-WG"	"BUBO131"	"BUBO13"	"BUBO"	"2013"	2013-04-15	15828	16449	43.5	2013-04-26	3	3	621	1.7	0	11	0	0	2	"HRQ-"	"1713-49026"	"RGQ-"	"1713-13973"	1
"2176"	"1713-49767"	"Q-GY"	"ANGB131"	"ANGB13"	"ANGB"	"2013"	2013-04-15	15828	16477	46.2	2013-04-26	4	4	649	1.78	0	11	0	0	2	"-OYQ"	"1713-13676"	"PA-Q"	"1713-13315"	1
"2177"	"1713-49768"	"Q-GB"	"ANGB131"	"ANGB13"	"ANGB"	"2013"	2013-04-15	15828	15929	45	2013-04-26	4	4	101	0.28	1	11	0	0	1	"-OYQ"	"1713-13676"	"PA-Q"	"1713-13315"	1
"2178"	"1713-49769"	"Q-GP"	"ANGB131"	"ANGB13"	"ANGB"	"2013"	2013-04-15	15828	16903	40.4	2013-04-26	4	4	1075	2.94	0	11	0	0	2	"-OYQ"	"1713-13676"	"PA-Q"	"1713-13315"	1
"2179"	"1713-49770"	"Q-GO"	"ANGB131"	"ANGB13"	"ANGB"	"2013"	2013-04-15	15828	16505	32.4	2013-04-26	4	4	677	1.85	0	11	0	0	1	"-OYQ"	"1713-13676"	"PA-Q"	"1713-13315"	1
"2180"	"1713-49774"	"Q-OW"	"CLAS134"	"CLAS13"	"CLAS"	"2013"	2013-04-16	15829	16848	48.4	2013-04-27	3	3	1019	2.79	0	11	0	0	1	"H-NY"	"1713-49320"	"CH-A"	"1573-66558"	1
"2181"	"1713-49776"	"Q-nG"	"CLAS134"	"CLAS13"	"CLAS"	"2013"	2013-04-16	15829	15886	41.1	2013-04-27	3	3	57	0.16	1	11	0	0	1	"H-NY"	"1713-49320"	"CH-A"	"1573-66558"	1
"2182"	"1713-49777"	"Q-nH"	"CABS131"	"CABS13"	"CABS"	"2013"	2013-04-16	15829	15868	42.2	2013-04-27	3	1	39	0.11	1	11	0	0	1	"H-CGW"	"1603-51790"	"-CAH"	"1603-51566"	1
"2183"	"1713-49778"	"Q-BA"	"SCOB131"	"SCOB13"	"SCOB"	"2013"	2013-04-17	15830	15929	47.9	2013-04-28	3	1	99	0.27	1	11	1	1	1	"-WRQ"	"1713-13341"	"uIC-RfH"	"1063-43495"	1
"2184"	"1713-49779"	"Q-LY"	"RATL132"	"RATL13"	"RATL"	"2013"	2013-04-18	15830	15966	45.9	2013-04-29	4	2	136	0.37	1	11	1	1	2	"I-CAW"	"1603-51639"	"BC-WuI"	"1063-48986"	1
"2185"	"1713-49780"	"Q-LB"	"RATL132"	"RATL13"	"RATL"	"2013"	2013-04-18	15830	15966	28.8	2013-04-29	4	2	136	0.37	1	11	1	1	1	"I-CAW"	"1603-51639"	"BC-WuI"	"1063-48986"	1
"2186"	"1713-49781"	"Q-RP"	"HTOP131"	"HTOP13"	"HTOP"	"2013"	2013-04-19	15832	16903	46	2013-04-30	2	2	1071	2.93	0	11	0	0	1	"A-AM"	"1513-50375"	"ORQ-"	"1713-13982"	1
"2187"	"1713-49782"	"Q-RO"	"HTOP131"	"HTOP13"	"HTOP"	"2013"	2013-04-19	15832	16903	41.8	2013-04-30	2	2	1071	2.93	0	11	0	0	1	"A-AM"	"1513-50375"	"ORQ-"	"1713-13982"	1
"2188"	"1713-49783"	"Q-nL"	"PINS132"	"PINS13"	"PINS"	"2013"	2013-04-19	15832	15875	56.1	2013-04-30	3	3	43	0.12	1	11	1	2	1	"B=NH"	"1713-49322"	"-CGB"	"1603-51187"	1
"2189"	"1713-49784"	"Q-RH"	"PINS132"	"PINS13"	"PINS"	"2013"	2013-04-19	15832	15994	51.9	2013-04-30	3	3	162	0.44	1	11	1	2	2	"B=NH"	"1713-49322"	"-CGB"	"1603-51187"	1
"2190"	"1713-49785"	"Q-nA"	"PINS132"	"PINS13"	"PINS"	"2013"	2013-04-19	15832	15868	51.5	2013-04-30	3	3	36	0.1	1	11	1	2	1	"B=NH"	"1713-49322"	"-CGB"	"1603-51187"	1
"2191"	"1713-49786"	"Q-YW"	"CATE132"	"CATE13"	"CATE"	"2013"	2013-04-21	15834	16295	45.9	2013-05-02	3	2	461	1.26	0	11	0	0	2	"H=NP"	"1713-49328"	"C-BW"	"1063-43584"	1
"2192"	"1713-49788"	"Q-YG"	"CATE132"	"CATE13"	"CATE"	"2013"	2013-04-21	15834	16022	36.7	2013-05-02	3	2	188	0.51	1	11	0	0	2	"H=NP"	"1713-49328"	"C-BW"	"1063-43584"	1
"2193"	"1713-49789"	"Q-HY"	"PLAZ132"	"PLAZ13"	"PLAZ"	"2013"	2013-04-23	15836	16903	41	2013-05-04	3	3	1067	2.92	0	11	1	1	2	"H-NP"	"1713-13946"	"L-NG"	"1713-49710"	1
"2194"	"1713-49790"	"Q-HB"	"PLAZ132"	"PLAZ13"	"PLAZ"	"2013"	2013-04-23	15836	16176	36.6	2013-05-04	3	3	340	0.93	1	11	1	1	3	"H-NP"	"1713-13946"	"L-NG"	"1713-49710"	1
"2195"	"1713-49792"	"Q=LW"	"REED132"	"REED13"	"REED"	"2013"	2013-04-24	15837	16903	52.8	2013-05-05	3	3	1066	2.92	0	11	0	0	1	"-FCF"	"1603-17239"	"RC-W"	"1063-42816"	1
"2196"	"1713-49793"	"Q-nR"	"REED132"	"REED13"	"REED"	"2013"	2013-04-24	15837	15841	46.8	2013-05-05	3	3	4	0.01	1	11	0	0	3	"-FCF"	"1603-17239"	"RC-W"	"1063-42816"	1
"2197"	"1713-49794"	"Q-LG"	"REED132"	"REED13"	"REED"	"2013"	2013-04-24	15837	16330	40	2013-05-05	3	3	493	1.35	0	11	0	0	3	"-FCF"	"1603-17239"	"RC-W"	"1063-42816"	1
"2198"	"1713-49795"	"Q-nO"	"ANGL133"	"ANGL13"	"ANGL"	"2013"	2013-04-24	15837	15838	45.9	2013-05-05	4	4	1	0	1	11	0	0	2	"BRC-"	"1513-50980"	"C-LG"	"1063-43522"	1
"2199"	"1713-49797"	"Q-nH"	"ANGL133"	"ANGL13"	"ANGL"	"2013"	2013-04-24	15837	15838	41.9	2013-05-05	4	4	1	0	1	11	0	0	1	"BRC-"	"1513-50980"	"C-LG"	"1063-43522"	1
"2200"	"1713-49799"	"Q-PY"	"SAND132"	"SAND13"	"SAND"	"2013"	2013-04-24	15836	16540	49	2013-05-05	4	2	704	1.93	0	11	1	1	2	"-OOQ"	"1713-13396"	"BC-G"	"1063-42827"	1
"2201"	"1713-49800"	"Q-PB"	"SAND132"	"SAND13"	"SAND"	"2013"	2013-04-24	15836	16903	46.8	2013-05-05	4	2	1067	2.92	0	11	1	1	1	"-OOQ"	"1713-13396"	"BC-G"	"1063-42827"	1
"2202"	"1713-89601"	"Qn-L"	"HARY141"	"HARY14"	"HARY"	"2014"	2014-04-03	16181	16204	37.9	2014-04-14	3	3	23	0.06	1	11	1	2	2	"-CAG"	"1603-51717"	"LCR-"	"1573-97901"	1
"2203"	"1713-89602"	"Qn-H"	"HARY141"	"HARY14"	"HARY"	"2014"	2014-04-03	16181	16230	41.2	2014-04-14	3	3	49	0.13	1	11	1	2	1	"-CAG"	"1603-51717"	"LCR-"	"1573-97901"	1
"2204"	"1713-89603"	"QW-A"	"HARY141"	"HARY14"	"HARY"	"2014"	2014-04-03	16181	16386	30.9	2014-04-14	3	3	205	0.56	1	11	1	2	2	"-CAG"	"1603-51717"	"LCR-"	"1573-97901"	1
"2205"	"1713-89604"	"QR-W"	"SCOB141"	"SCOB14"	"SCOB"	"2014"	2014-04-04	16183	16903	36.5	2014-04-15	4	4	720	1.97	0	11	0	0	2	"-WRQ"	"1713-13341"	"uIC-RfH"	"1063-43495"	1
"2206"	"1713-89605"	"Qn-R"	"SCOB141"	"SCOB14"	"SCOB"	"2014"	2014-04-04	16183	16184	31.8	2014-04-15	4	4	1	0	1	11	0	0	1	"-WRQ"	"1713-13341"	"uIC-RfH"	"1063-43495"	1
"2207"	"1713-89606"	"QR-G"	"SCOB141"	"SCOB14"	"SCOB"	"2014"	2014-04-04	16183	16358	30.4	2014-04-15	4	4	175	0.48	1	11	0	0	2	"-WRQ"	"1713-13341"	"uIC-RfH"	"1063-43495"	1
"2208"	"1713-89607"	"QR-Y"	"SCOB141"	"SCOB14"	"SCOB"	"2014"	2014-04-04	16183	16848	27.1	2014-04-15	4	4	665	1.82	0	11	0	0	1	"-WRQ"	"1713-13341"	"uIC-RfH"	"1063-43495"	1
"2209"	"1713-89612"	"Qn-H"	"NASP141"	"NASP14"	"NASP"	"2014"	2014-04-05	16182	16183	27.6	2014-04-16	4	4	1	0	1	11	0	0	2	"RQ-G"	"1713-49367"	"L-NR"	"1573-66078"	1
"2210"	"1713-89613"	"Qn-W"	"EAGB141"	"EAGB14"	"EAGB"	"2014"	2014-04-05	16178	16192	51.9	2014-04-16	3	2	14	0.04	1	11	0	0	1	"-PLQ"	"1713-13680"	"H-RCL"	"1713-90310"	1
"2211"	"1713-89614"	"QR-R"	"EAGB141"	"EAGB14"	"EAGB"	"2014"	2014-04-05	16178	16903	45.6	2014-04-16	3	2	725	1.98	0	11	0	0	1	"-PLQ"	"1713-13680"	"H-RCL"	"1713-90310"	1
"2212"	"1713-89616"	"QP-Y"	"DICE141"	"DICE14"	"DICE"	"2014"	2014-04-06	16183	16330	51.9	2014-04-17	3	3	147	0.4	1	11	0	0	2	"AOQ-I"	"1713-49155"	"CL-G"	"1573-66092"	1
"2213"	"1713-89618"	"QG-P"	"NENE141"	"NENE14"	"NENE"	"2014"	2014-04-07	16187	16540	37.3	2014-04-18	4	2	353	0.97	1	11	0	0	2	"B-NP"	"1713-49327"	"WBQ-"	"1713-13955"	1
"2214"	"1713-89619"	"QG-O"	"NENE141"	"NENE14"	"NENE"	"2014"	2014-04-07	16187	16540	30.9	2014-04-18	4	2	353	0.97	1	11	0	0	2	"B-NP"	"1713-49327"	"WBQ-"	"1713-13955"	1
"2215"	"1713-89621"	"QH-W"	"BOBB141"	"BOBB14"	"BOBB"	"2014"	2014-04-07	16184	16903	42.9	2014-04-18	4	3	719	1.97	0	11	0	0	2	"I-LHQ"	"1713-13254"	"L-NB"	"1713-49336"	48
"2216"	"1713-89622"	"QH-R"	"BOBB141"	"BOBB14"	"BOBB"	"2014"	2014-04-07	16184	16358	43.1	2014-04-18	4	3	174	0.48	1	11	0	0	2	"I-LHQ"	"1713-13254"	"L-NB"	"1713-49336"	48
"2217"	"1713-89623"	"Qn-G"	"BOBB141"	"BOBB14"	"BOBB"	"2014"	2014-04-07	16184	16213	38.9	2014-04-18	4	3	29	0.08	1	11	0	0	1	"I-LHQ"	"1713-13254"	"L-NB"	"1713-49336"	48
"2218"	"1713-89624"	"Qn-Y"	"SAND142"	"SAND14"	"SAND"	"2014"	2014-04-08	16187	16202	44.3	2014-04-19	3	3	15	0.04	1	11	1	3	2	"-OOQ"	"1713-13396"	"BC-G"	"1063-42827"	1
"2219"	"1713-89625"	"QA-B"	"SAND142"	"SAND14"	"SAND"	"2014"	2014-04-08	16187	16903	44.4	2014-04-19	3	3	716	1.96	0	11	1	3	2	"-OOQ"	"1713-13396"	"BC-G"	"1063-42827"	1
"2220"	"1713-89626"	"QW-P"	"SAND142"	"SAND14"	"SAND"	"2014"	2014-04-08	16187	16659	41.5	2014-04-19	3	3	472	1.29	0	11	1	3	2	"-OOQ"	"1713-13396"	"BC-G"	"1063-42827"	1
"2221"	"1713-89628"	"QW-L"	"NPOL142"	"NPOL14"	"NPOL"	"2014"	2014-04-09	16186	16603	49.9	2014-04-20	4	3	417	1.14	0	11	1	1	1	"W-NB"	"1603-51810"	"-RCA"	"1713-49395"	1
"2222"	"1713-89629"	"QW-H"	"NPOL142"	"NPOL14"	"NPOL"	"2014"	2014-04-09	16186	16386	50	2014-04-20	4	3	200	0.55	1	11	1	1	1	"W-NB"	"1603-51810"	"-RCA"	"1713-49395"	1
"2223"	"1713-89630"	"Qn-A"	"NPOL142"	"NPOL14"	"NPOL"	"2014"	2014-04-09	16186	16187	44.1	2014-04-20	4	3	1	0	1	11	1	1	1	"W-NB"	"1603-51810"	"-RCA"	"1713-49395"	1
"2224"	"1713-89632"	"QB-R"	"WVAL141"	"WVAL14"	"WVAL"	"2014"	2014-04-09	16185	16272	41.8	2014-04-20	4	1	87	0.24	1	11	0	0	1	"R-NP"	"1603-51814"	"CBH-"	"1603-51316"	44
"2225"	"1713-89633"	"QY-W"	"NSWL141"	"NSWL14"	"NSWL"	"2014"	2014-04-10	16187	16603	44.7	2014-04-21	4	2	416	1.14	0	11	1	1	1	"-HGQ"	"1713-13610"	"AGQ-"	"1713-49070"	1
"2226"	"1713-89634"	"QY-R"	"NSWL141"	"NSWL14"	"NSWL"	"2014"	2014-04-10	16187	16903	44.2	2014-04-21	4	2	716	1.96	0	11	1	1	2	"-HGQ"	"1713-13610"	"AGQ-"	"1713-49070"	1
"2227"	"1713-89635"	"Qn-G"	"BINX141"	"BINX14"	"BINX"	"2014"	2014-04-10	16190	16198	45.9	2014-04-21	4	3	8	0.02	1	11	1	2	2	"I-CHY"	"1603-51602"	"-WLQ"	"1713-13619"	1
"2228"	"1713-89636"	"QB-Y"	"BINX141"	"BINX14"	"BINX"	"2014"	2014-04-10	16190	16631	51.3	2014-04-21	4	3	441	1.21	0	11	1	2	1	"I-CHY"	"1603-51602"	"-WLQ"	"1713-13619"	1
"2229"	"1713-89637"	"Qn-B"	"BINX141"	"BINX14"	"BINX"	"2014"	2014-04-10	16190	16198	40.8	2014-04-21	4	3	8	0.02	1	11	1	2	1	"I-CHY"	"1603-51602"	"-WLQ"	"1713-13619"	1
"2230"	"1713-89639"	"QB-O"	"RAUL141"	"RAUL14"	"RAUL"	"2014"	2014-04-10	16188	16903	48.2	2014-04-21	5	4	715	1.96	0	11	0	0	1	"-YLQ"	"1713-13672"	"GAQ-"	"1713-13980"	1
"2231"	"1713-89640"	"QB-L"	"RAUL141"	"RAUL14"	"RAUL"	"2014"	2014-04-10	16188	16903	46.7	2014-04-21	5	4	715	1.96	0	11	0	0	2	"-YLQ"	"1713-13672"	"GAQ-"	"1713-13980"	1
"2232"	"1713-89642"	"Qn-A"	"RAUL141"	"RAUL14"	"RAUL"	"2014"	2014-04-10	16188	16190	40.8	2014-04-21	5	4	2	0.01	1	11	0	0	2	"-YLQ"	"1713-13672"	"GAQ-"	"1713-13980"	1
"2233"	"1713-89643"	"QB-G"	"SLAK141"	"SLAK14"	"SLAK"	"2014"	2014-04-10	16188	16903	46.1	2014-04-21	4	4	715	1.96	0	11	0	0	1	"-LYQ"	"1713-13604"	"HLQ-"	"1713-49214"	1
"2234"	"1713-89645"	"QB-P"	"SLAK141"	"SLAK14"	"SLAK"	"2014"	2014-04-10	16188	16903	36.7	2014-04-21	4	4	715	1.96	0	11	0	0	2	"-LYQ"	"1713-13604"	"HLQ-"	"1713-49214"	1
"2235"	"1713-89647"	"QY-O"	"N18E141"	"N18E14"	"N18E"	"2014"	2014-04-11	16188	16386	49	2014-04-22	4	4	198	0.54	1	11	0	0	1	"GPQ-I"	"1713-13795"	"BBQ-H"	"1713-49298"	1
"2236"	"1713-89648"	"QY-L"	"N18E141"	"N18E14"	"N18E"	"2014"	2014-04-11	16188	16903	48.8	2014-04-22	4	4	715	1.96	0	11	0	0	2	"GPQ-I"	"1713-13795"	"BBQ-H"	"1713-49298"	1
"2237"	"1713-89649"	"Qn-H"	"N18E141"	"N18E14"	"N18E"	"2014"	2014-04-11	16188	16211	45.2	2014-04-22	4	4	23	0.06	1	11	0	0	2	"GPQ-I"	"1713-13795"	"BBQ-H"	"1713-49298"	1
"2238"	"1713-89650"	"QY-A"	"N18E141"	"N18E14"	"N18E"	"2014"	2014-04-11	16188	16419	33.4	2014-04-22	4	4	231	0.63	1	11	0	0	1	"GPQ-I"	"1713-13795"	"BBQ-H"	"1713-49298"	1
"2239"	"1713-89651"	"QW-W"	"PINS142"	"PINS14"	"PINS"	"2014"	2014-04-13	16191	16295	48.1	2014-04-24	4	4	104	0.28	1	11	1	1	2	"B=NH"	"1713-49322"	"-CGB"	"1603-51187"	1
"2240"	"1713-89652"	"Qn-R"	"PINS142"	"PINS14"	"PINS"	"2014"	2014-04-13	16191	16192	48.6	2014-04-24	4	4	1	0	1	11	1	1	1	"B=NH"	"1713-49322"	"-CGB"	"1603-51187"	1
"2241"	"1713-89654"	"Qn-Y"	"PINS142"	"PINS14"	"PINS"	"2014"	2014-04-13	16191	16192	41.8	2014-04-24	4	4	1	0	1	11	1	1	1	"B=NH"	"1713-49322"	"-CGB"	"1603-51187"	1
"2242"	"1713-89655"	"QL-B"	"SHIC141"	"SHIC14"	"SHIC"	"2014"	2014-04-13	16191	16330	53.9	2014-04-24	3	3	139	0.38	1	11	1	3	1	"G-NY"	"1713-49400"	"WCR-"	"1573-97993"	1
"2243"	"1713-89656"	"QL-PI"	"SHIC141"	"SHIC14"	"SHIC"	"2014"	2014-04-13	16191	16659	43	2014-04-24	3	3	468	1.28	0	11	1	3	2	"G-NY"	"1713-49400"	"WCR-"	"1573-97993"	1
"2244"	"1713-89657"	"Qn-O"	"SHIC141"	"SHIC14"	"SHIC"	"2014"	2014-04-13	16191	16903	32.9	2014-04-24	3	3	712	1.95	0	11	1	3	1	"G-NY"	"1713-49400"	"WCR-"	"1573-97993"	1
"2245"	"1713-89658"	"QR-L"	"JERE141"	"JERE14"	"JERE"	"2014"	2014-04-15	16193	16449	48.7	2014-04-26	3	3	256	0.7	1	11	0	0	1	"PY-KS"	"1603-51960"	"H-CHR"	"1603-51754"	1
"2246"	"1713-89659"	"Qn-H"	"JERE141"	"JERE14"	"JERE"	"2014"	2014-04-15	16193	16202	47.1	2014-04-26	3	3	9	0.02	1	11	0	0	1	"PY-KS"	"1603-51960"	"H-CHR"	"1603-51754"	1
"2247"	"1713-89660"	"QR-A"	"JERE141"	"JERE14"	"JERE"	"2014"	2014-04-15	16193	16272	45.8	2014-04-26	3	3	79	0.22	1	11	0	0	2	"PY-KS"	"1603-51960"	"H-CHR"	"1603-51754"	1
"2248"	"1713-89661"	"QG-W"	"ROSE141"	"ROSE14"	"ROSE"	"2014"	2014-04-15	16194	16631	49.8	2014-04-26	3	3	437	1.2	0	11	1	1	2	"-CPP"	"1603-51518"	"-WPQ"	"1713-90309"	1
"2249"	"1713-89662"	"QG-R"	"ROSE141"	"ROSE14"	"ROSE"	"2014"	2014-04-15	16194	16330	49.8	2014-04-26	3	3	136	0.37	1	11	1	1	1	"-CPP"	"1603-51518"	"-WPQ"	"1713-90309"	1
"2250"	"1713-89663"	"QG-G"	"ROSE141"	"ROSE14"	"ROSE"	"2014"	2014-04-15	16194	16903	45.2	2014-04-26	3	3	709	1.94	0	11	1	1	1	"-CPP"	"1603-51518"	"-WPQ"	"1713-90309"	1
"2251"	"1713-89667"	"Qn-O"	"CATE141"	"CATE14"	"CATE"	"2014"	2014-04-18	16196	16197	42.7	2014-04-29	3	3	1	0	1	11	1	1	1	"H=NP"	"1713-49328"	"C-BW"	"1063-43584"	1
"2252"	"1713-89668"	"QG-L"	"CATE141"	"CATE14"	"CATE"	"2014"	2014-04-18	16196	16358	39.3	2014-04-29	3	3	162	0.44	1	11	1	1	2	"H=NP"	"1713-49328"	"C-BW"	"1063-43584"	1
"2253"	"1713-89669"	"QG-H"	"CATE141"	"CATE14"	"CATE"	"2014"	2014-04-18	16196	16820	34.8	2014-04-29	3	3	624	1.71	0	11	1	1	2	"H=NP"	"1713-49328"	"C-BW"	"1063-43584"	1
"2254"	"1713-89670"	"Qn-W"	"TP39141"	"TP3914"	"TP39"	"2014"	2014-04-18	16197	16205	38.9	2014-04-29	4	3	8	0.02	1	11	0	0	1	"A-NO"	"1713-49701"	"CAO-"	"1603-51131"	1
"2255"	"1713-89671"	"Qn-R"	"TP39141"	"TP3914"	"TP39"	"2014"	2014-04-18	16197	16205	32.2	2014-04-29	4	3	8	0.02	1	11	0	0	2	"A-NO"	"1713-49701"	"CAO-"	"1603-51131"	1
"2256"	"1713-89672"	"Qn-G"	"TP39141"	"TP3914"	"TP39"	"2014"	2014-04-18	16197	16205	34.7	2014-04-29	4	3	8	0.02	1	11	0	0	1	"A-NO"	"1713-49701"	"CAO-"	"1603-51131"	1
"2257"	"1713-89674"	"QP-B"	"PINE141"	"PINE14"	"PINE"	"2014"	2014-04-19	16198	16631	41	2014-04-30	3	3	433	1.19	0	11	1	2	1	"GOQ-"	"1713-13997"	"GYQ-H"	"1713-49223"	1
"2258"	"1713-89675"	"Qn-P"	"PINE141"	"PINE14"	"PINE"	"2014"	2014-04-19	16198	16202	40.8	2014-04-30	3	3	4	0.01	1	11	1	2	2	"GOQ-"	"1713-13997"	"GYQ-H"	"1713-49223"	1
"2259"	"1713-89676"	"QP-O"	"PINE141"	"PINE14"	"PINE"	"2014"	2014-04-19	16198	16272	23.8	2014-04-30	3	3	74	0.2	1	11	1	2	2	"GOQ-"	"1713-13997"	"GYQ-H"	"1713-49223"	1
"2260"	"1713-89677"	"QP-L"	"SWSE142"	"SWSE14"	"SWSE"	"2014"	2014-04-19	16196	16263	40.2	2014-04-30	4	3	67	0.18	1	11	0	0	1	"-LLQ"	"1713-13626"	"H-GCO"	"1603-17440"	1
"2261"	"1713-89680"	"QG-A"	"PLAZ141"	"PLAZ14"	"PLAZ"	"2014"	2014-04-20	16197	16330	45.6	2014-05-01	2	1	133	0.36	1	11	1	3	1	"H-NP"	"1713-13946"	"L-NG"	"1713-49710"	1
"2262"	"1713-89681"	"QP-W"	"NWES141"	"NWES14"	"NWES"	"2014"	2014-04-20	16200	16903	38.5	2014-05-01	3	3	703	1.92	0	11	1	2	2	"-AYQ"	"1713-13926"	"RGQ-"	"1713-13973"	1
"2263"	"1713-89682"	"QP-R"	"NWES141"	"NWES14"	"NWES"	"2014"	2014-04-20	16200	16295	39.4	2014-05-01	3	3	95	0.26	1	11	1	2	2	"-AYQ"	"1713-13926"	"RGQ-"	"1713-13973"	1
"2264"	"1713-89683"	"QP-G"	"NWES141"	"NWES14"	"NWES"	"2014"	2014-04-20	16200	16903	28.5	2014-05-01	3	3	703	1.92	0	11	1	2	1	"-AYQ"	"1713-13926"	"RGQ-"	"1713-13973"	1
"2265"	"1713-89684"	"QO-H"	"WCOP141"	"WCOP14"	"WCOP"	"2014"	2014-04-22	16200	16694	49.9	2014-05-03	3	2	494	1.35	0	11	0	0	1	"BOQ-H"	"1713-49307"	"YHQ-"	"1713-49039"	1
"2266"	"1713-89685"	"QO-A"	"WCOP141"	"WCOP14"	"WCOP"	"2014"	2014-04-22	16200	16330	47.3	2014-05-03	3	2	130	0.36	1	11	0	0	2	"BOQ-H"	"1713-49307"	"YHQ-"	"1713-49039"	1
"2267"	"1713-89686"	"QP-P"	"FENC141"	"FENC14"	"FENC"	"2014"	2014-04-24	16200	16631	54.3	2014-05-05	3	1	431	1.18	0	11	0	0	1	"-HWQ"	"1713-13608"	"RGQ-H"	"1713-49202"	1
"2268"	"1713-89689"	"Qn-H"	"CIRC143"	"CIRC14"	"CIRC"	"2014"	2014-04-24	16202	16234	42.5	2014-05-05	2	2	32	0.09	1	11	0	0	2	"O-NP"	"1713-49325"	"R-NA"	"1603-51728"	1
"2269"	"1713-89690"	"QB-A"	"CIRC143"	"CIRC14"	"CIRC"	"2014"	2014-04-24	16202	16903	29.5	2014-05-05	2	2	701	1.92	0	11	0	0	1	"O-NP"	"1713-49325"	"R-NA"	"1603-51728"	1
"2270"	"1713-89691"	"QO-WI"	"BNCH142"	"BNCH14"	"BNCH"	"2014"	2014-04-27	16204	16694	47.7	2014-05-08	4	3	490	1.34	0	11	1	1	2	"-LQ"	"2"	"W-NR"	"1603-51726"	1
"2271"	"1713-89692"	"QO-R"	"BNCH142"	"BNCH14"	"BNCH"	"2014"	2014-04-27	16204	16694	47.2	2014-05-08	4	3	490	1.34	0	11	1	1	2	"-LQ"	"2"	"W-NR"	"1603-51726"	1
"2272"	"1713-89693"	"QO-G"	"BNCH142"	"BNCH14"	"BNCH"	"2014"	2014-04-27	16204	16505	35.1	2014-05-08	4	3	301	0.82	1	11	1	1	1	"-LQ"	"2"	"W-NR"	"1603-51726"	1
