"TerrYr"	"USFWBand"	"JayID"	"NatalNest"	"TerrYr.x"	"Terr"	"Year"	"HatchDate"	"FldgDate"	"LastObsDate"	"Mass"	"MeasDate"	"HatchNum"	"FldgNum"	"Days"	"Years"	"Censor"	"Day11"	"Help"	"HelpNum"	"TerrYr.y"	"dadid"	"dadexp"	"momband"	"momexp"	"momage"	"scrb.count"	"tsf.count"	"stdscr"	"centscr"	"stdtsf"	"centtsf"	"stdsize"	"centsize"
"38"	"ANGL13"	"1713-49795"	"Q-nO"	"ANGL133"	"ANGL13"	"ANGL"	"2013"	2013-04-24	15837	15838	45.9	2013-05-05	4	4	1	0	1	11	0	0	"ANGL13"	"C-LG"	8	"1513-50980"	9	12	2612	1555	0.75672546806368	-458.460436137072	0.369826181992421	-1698.26105919003	0.630654587741366	-1821.6691588785
"39"	"ANGL13"	"1713-49797"	"Q-nH"	"ANGL133"	"ANGL13"	"ANGL"	"2013"	2013-04-24	15837	15838	41.9	2013-05-05	4	4	1	0	1	11	0	0	"ANGL13"	"C-LG"	8	"1513-50980"	9	12	2612	1555	0.75672546806368	-458.460436137072	0.369826181992421	-1698.26105919003	0.630654587741366	-1821.6691588785
"40"	"ANNI00"	"1513-50742"	"-RPC"	"ANNI002"	"ANNI00"	"ANNI"	"2000"	2000-04-22	11087	13129	41.3	2000-05-03	4	2	2042	5.59	0	11	1	2	"ANNI00"	"-ZWW"	0	"1453-78106"	4	6	2770	2623	0.802499826392187	-300.460436137072	0.62382898737371	-630.261059190031	1.18056034985629	1692.3308411215
"41"	"ANNI00"	"1513-50741"	"-WPC"	"ANNI002"	"ANNI00"	"ANNI"	"2000"	2000-04-22	11087	11179	48.5	2000-05-03	4	2	92	0.25	1	11	1	2	"ANNI00"	"-ZWW"	0	"1453-78106"	4	6	2770	2623	0.802499826392187	-300.460436137072	0.62382898737371	-630.261059190031	1.18056034985629	1692.3308411215
"42"	"ANNI01"	"1513-50926"	"PGC-"	"ANNI011"	"ANNI01"	"ANNI"	"2001"	2001-04-13	11445	11820	47.3	2001-04-24	3	3	375	1.03	0	11	1	2	"ANNI01"	"-ZWW"	1	"1453-78106"	5	7	3235	3612	0.937215501219756	164.539563862928	0.859043195727732	358.738940809969	1.32609602395046	2622.3308411215
"43"	"ANNI01"	"1513-50927"	"OGC-"	"ANNI011"	"ANNI01"	"ANNI"	"2001"	2001-04-13	11445	12031	33	2001-04-24	3	3	586	1.6	0	11	1	2	"ANNI01"	"-ZWW"	1	"1453-78106"	5	7	3235	3612	0.937215501219756	164.539563862928	0.859043195727732	358.738940809969	1.32609602395046	2622.3308411215
"44"	"ANNI02"	"1063-42865"	"AC-F"	"ANNI022"	"ANNI02"	"ANNI"	"2002"	2002-04-07	11801	12244	42.4	2002-04-18	4	3	443	1.21	0	11	1	3	"ANNI02"	"-ZWW"	2	"1453-78106"	6	8	3672	4441	1.06381926444481	601.539563862928	1.05620454934298	1187.73894080997	1.31295086629034	2538.3308411215
"45"	"ANNI04"	"1573-65935"	"CA-n"	"ANNI043"	"ANNI04"	"ANNI"	"2004"	2004-04-04	12529	12885	51.1	2004-04-15	1	1	356	0.97	1	11	0	0	"ANNI04"	"-ZWW"	4	"1453-78106"	8	10	5392	7128	1.56212240574248	2321.53956386293	1.6952546786122	3874.73894080997	1.61967121169309	4498.3308411215
"46"	"ANNI04"	"1573-66556"	"CR-A"	"ANNI044"	"ANNI04"	"ANNI"	"2004"	2004-05-21	12577	12885	43.3	2004-06-01	4	4	308	0.84	1	11	0	0	"ANNI04"	"-ZWW"	4	"1453-78106"	8	10	5392	7128	1.56212240574248	2321.53956386293	1.6952546786122	3874.73894080997	1.61967121169309	4498.3308411215
"47"	"ANNI04"	"1573-66558"	"CH-A"	"ANNI044"	"ANNI04"	"ANNI"	"2004"	2004-05-21	12577	16903	35.4	2004-06-01	4	4	4326	11.84	0	11	0	0	"ANNI04"	"-ZWW"	4	"1453-78106"	8	10	5392	7128	1.56212240574248	2321.53956386293	1.6952546786122	3874.73894080997	1.61967121169309	4498.3308411215
"48"	"ANNI04"	"1573-66555"	"CW-A"	"ANNI044"	"ANNI04"	"ANNI"	"2004"	2004-05-21	12577	12642	43.2	2004-06-01	4	4	65	0.18	1	11	0	0	"ANNI04"	"-ZWW"	4	"1453-78106"	8	10	5392	7128	1.56212240574248	2321.53956386293	1.6952546786122	3874.73894080997	1.61967121169309	4498.3308411215
"49"	"ANNI04"	"1573-66557"	"CG-A"	"ANNI044"	"ANNI04"	"ANNI"	"2004"	2004-05-21	12577	15539	42.4	2004-06-01	4	4	2962	8.11	0	11	0	0	"ANNI04"	"-ZWW"	4	"1453-78106"	8	10	5392	7128	1.56212240574248	2321.53956386293	1.6952546786122	3874.73894080997	1.61967121169309	4498.3308411215
"50"	"ANNI08"	"1603-51572"	"-CBG"	"ANNI081"	"ANNI08"	"ANNI"	"2008"	2008-04-11	13998	14195	45.3	2008-04-22	4	4	197	0.54	1	11	0	0	"ANNI08"	"CG-A"	2	"1603-16670"	1	4	3597	4038	1.0420909297952	526.539563862928	0.960358921469707	784.738940809969	0.722827181334335	-1232.6691588785
"51"	"ANNI08"	"1603-51570"	"-CBW"	"ANNI081"	"ANNI08"	"ANNI"	"2008"	2008-04-11	13998	14895	48.1	2008-04-22	4	4	897	2.46	0	11	0	0	"ANNI08"	"CG-A"	2	"1603-16670"	1	4	3597	4038	1.0420909297952	526.539563862928	0.960358921469707	784.738940809969	0.722827181334335	-1232.6691588785
